"Name","Best/Val_acc","Best/Val_loss","ID","State","Notes","User","Tags","Created","Runtime","Sweep","admin.config_path","admin.dataset","admin.exp_no","admin.model","admin.recover","admin.save_path","admin.seed","admin.split","backbone_init_lr","backbone_weight_decay","batch_size","classifier_init_lr","classifier_weight_decay","data.frame_size","data.strict_size","data.target_length","data.test_augs.frame_size","data.test_augs.norm_dict.mean","data.test_augs.norm_dict.std","data.test_augs.normalise","data.test_augs.spatial_aug","data.test_augs.strict_size","data.test_augs.target_length","data.test_augs.temporal_aug","data.train_augs.frame_size","data.train_augs.norm_dict.mean","data.train_augs.norm_dict.std","data.train_augs.normalise","data.train_augs.spatial_aug","data.train_augs.strict_size","data.train_augs.target_length","data.train_augs.temporal_aug","drop_p","end_factor","eps","eta_min","frame_size","hflip_p","magnitude","max_epoch","max_wobble","min_delta","model_params.drop_p","model_params.type","num_magnitude_bins","num_ops","optimizer.backbone_init_lr","optimizer.backbone_weight_decay","optimizer.classifier_init_lr","optimizer.classifier_weight_decay","optimizer.eps","patience","scheduler.eta_min","scheduler.t0","scheduler.tmult","scheduler.type","scheduler.warm_up.end_factor","scheduler.warm_up.start_factor","scheduler.warm_up.warmup_epochs","start_factor","stopping.metric","stopping.min_delta","stopping.mode","stopping.patience","stopping.phase","stopping.type","t0","target_length","tmult","training.batch_size","training.batch_size_equivalent","training.max_epoch","training.update_per_step","update_per_step","warmup_epochs","Accuracy/Train","Accuracy/Train_Step","Accuracy/Val","Epoch","Loss/Train","Loss/Train_Step","Loss/Val","Patience count","Step"
"S3D_asl100_j9w9fq2v","73.37278106508876","1.0265394871852584","j9w9fq2v","running","-","","","2026-08-22T15:53:50.000Z","2359","","/home/luke/Code/SLR/src/configfiles/sweeps/S3D/exp004/base.py","WLASL","j9w9fq2v","S3D","false","/home/luke/Code/SLR/src/runs/asl100/S3D/sweep_qsh82m4w/j9w9fq2v/checkpoints","42","asl100","0.00008743205202653354","0.0001282568070796395","8","0.0005839002874853675","0.004012723767156199","224","true","32","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""type"":""Centre_crop"",""frame_size"":224}]","true","32","[{""target_length"":32,""type"":""uniform"",""max_wobble"":0}]","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""p"":0.08495842899763334,""type"":""HORIZONTAL_FLIP""},{""type"":""Centre_crop"",""frame_size"":224},{""magnitude"":14,""interpolation"":""bilinear"",""num_magnitude_bins"":31,""type"":""RANDAUGMENT"",""num_ops"":4}]","true","32","[{""type"":""chunked"",""max_wobble"":0,""target_length"":32}]","0.21759598084292597","1","0.000026362909422681315","0","224","0.08495842899763334","14","200","0","0.01","0.21759598084292597","supervised","31","4","0.00008743205202653354","0.0001282568070796395","0.0005839002874853675","0.004012723767156199","0.000026362909422681315","20","0","17","2","CosineAnnealingWarmRestarts","1","0.042898690467035566","5","0.042898690467035566","loss","0.01","min","20","val","early_stopper","17","32","2","8","8","200","1","1","5","92.57975034674064","90","73.37278106508876","21","0.3610413589110487","0.3982802048325539","1.0265394871852584","0","3920"
"S3D_asl100_la6vpeyy","75.14792899408285","0.9281757406183204","la6vpeyy","finished","-","","","2026-08-22T12:33:54.000Z","5670","","/home/luke/Code/SLR/src/configfiles/sweeps/S3D/exp004/base.py","WLASL","la6vpeyy","S3D","false","/home/luke/Code/SLR/src/runs/asl100/S3D/sweep_qsh82m4w/la6vpeyy/checkpoints","42","asl100","0.0006990126421162872","0.0010780373448718815","8","0.00028022002117317007","0.000775828580343791","224","true","32","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""type"":""Centre_crop"",""frame_size"":224}]","true","32","[{""type"":""uniform"",""max_wobble"":0,""target_length"":32}]","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""p"":0.1687800038990837,""type"":""HORIZONTAL_FLIP""},{""type"":""Centre_crop"",""frame_size"":224},{""type"":""RANDAUGMENT"",""num_ops"":2,""magnitude"":11,""interpolation"":""bilinear"",""num_magnitude_bins"":31}]","true","32","[{""type"":""chunked"",""max_wobble"":3,""target_length"":32}]","0.24407115273089072","1","0.00002265849677277262","0","224","0.1687800038990837","11","200","3","0.01","0.24407115273089072","supervised","31","2","0.0006990126421162872","0.0010780373448718815","0.00028022002117317007","0.000775828580343791","0.00002265849677277262","20","0","12","2","CosineAnnealingWarmRestarts","1","0.3700879210480871","0","0.3700879210480871","loss","0.01","min","20","val","early_stopper","12","32","2","8","8","200","1","1","0","91.747572815534","82.5","45.857988165680474","52","0.2841240124138855","0.5754042722284793","3.3726654557004836","20","9410"
"S3D_asl100_plps46y3","58.57988165680474","1.7181319017782972","plps46y3","failed","-","","","2026-08-22T12:33:12.000Z","11996","","/home/luke/Code/SLR/src/configfiles/sweeps/S3D/exp004/base.py","WLASL","plps46y3","S3D","false","/home/luke/Code/SLR/src/runs/asl100/S3D/sweep_qsh82m4w/plps46y3/checkpoints","42","asl100","0.00011060750593878858","0.001180613975962698","8","0.000025838946242071296","0.008037617220904895","224","true","32","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""type"":""Centre_crop"",""frame_size"":224}]","true","32","[{""type"":""uniform"",""max_wobble"":0,""target_length"":32}]","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""p"":0.042064001494596326,""type"":""HORIZONTAL_FLIP""},{""type"":""Centre_crop"",""frame_size"":224},{""interpolation"":""bilinear"",""num_magnitude_bins"":31,""type"":""RANDAUGMENT"",""num_ops"":4,""magnitude"":9}]","true","32","[{""type"":""chunked"",""max_wobble"":2,""target_length"":32}]","0.202157450858579","1","0.000048777440306029325","0","224","0.042064001494596326","9","200","2","0.01","0.202157450858579","supervised","31","4","0.00011060750593878858","0.001180613975962698","0.000025838946242071296","0.008037617220904895","0.000048777440306029325","20","0","18","2","CosineAnnealingWarmRestarts","1","0.07380559106241749","5","0.07380559106241749","loss","0.01","min","20","val","early_stopper","18","32","2","8","8","200","1","1","5","83.77253814147018","90","56.21301775147929","15","1.1631918919069923","0.9216919600963592","1.7181319017782972","0","2860"
"S3D_asl100_7prfjbbw","78.69822485207101","0.8578755910691765","7prfjbbw","finished","-","","","2026-08-22T08:45:49.000Z","6875","","/home/luke/Code/SLR/src/configfiles/sweeps/S3D/exp004/base.py","WLASL","7prfjbbw","S3D","false","/home/luke/Code/SLR/src/runs/asl100/S3D/sweep_qsh82m4w/7prfjbbw/checkpoints","42","asl100","0.00025385493074516136","0.03420183351906139","8","0.0002692337936519967","0.00027167795729562445","224","true","32","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""type"":""Centre_crop"",""frame_size"":224}]","true","32","[{""type"":""uniform"",""max_wobble"":0,""target_length"":32}]","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""p"":0.034766275910837086,""type"":""HORIZONTAL_FLIP""},{""type"":""Centre_crop"",""frame_size"":224},{""type"":""RANDAUGMENT"",""num_ops"":3,""magnitude"":13,""interpolation"":""bilinear"",""num_magnitude_bins"":31}]","true","32","[{""target_length"":32,""type"":""chunked"",""max_wobble"":3}]","0.18317310382905228","1","0.0005242286635022429","0","224","0.034766275910837086","13","200","3","0.01","0.18317310382905228","supervised","31","3","0.00025385493074516136","0.03420183351906139","0.0002692337936519967","0.00027167795729562445","0.0005242286635022429","20","0","14","2","CosineAnnealingWarmRestarts","1","0.020190308033389608","8","0.020190308033389608","loss","0.01","min","20","val","early_stopper","14","32","2","8","8","200","1","1","8","94.1747572815534","96.25","58.28402366863905","63","0.19809106918085423","0.23308373959735035","1.8623634280393755","20","11400"
"S3D_asl100_7kfqnjmd","47.0414201183432","1.9062409044419033","7kfqnjmd","failed","-","","","2026-08-22T08:16:48.000Z","1701","","/home/luke/Code/SLR/src/configfiles/sweeps/S3D/exp004/base.py","WLASL","7kfqnjmd","S3D","false","/home/luke/Code/SLR/src/runs/asl100/S3D/sweep_qsh82m4w/7kfqnjmd/checkpoints","42","asl100","0.000937368399381024","0.0000725234473761091","8","0.00005529419112396719","0.000024670373449994577","224","true","32","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""type"":""Centre_crop"",""frame_size"":224}]","true","32","[{""type"":""uniform"",""max_wobble"":0,""target_length"":32}]","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""type"":""HORIZONTAL_FLIP"",""p"":0.1453486196869559},{""type"":""Centre_crop"",""frame_size"":224},{""magnitude"":12,""interpolation"":""bilinear"",""num_magnitude_bins"":31,""type"":""RANDAUGMENT"",""num_ops"":6}]","true","32","[{""max_wobble"":3,""target_length"":32,""type"":""chunked""}]","0.1825798603107248","1","0.00016801787817690575","0","224","0.1453486196869559","12","200","3","0.01","0.1825798603107248","supervised","31","6","0.000937368399381024","0.0000725234473761091","0.00005529419112396719","0.000024670373449994577","0.00016801787817690575","20","0","17","2","CosineAnnealingWarmRestarts","1","0.31602781015729514","5","0.31602781015729514","loss","0.01","min","20","val","early_stopper","17","32","2","8","8","200","1","1","5","60.95700416088766","65","47.0414201183432","15","1.457430445701504","1.267304813861847","1.9062409044419033","0","2780"
"S3D_asl100_dcxesuyu","60.05917159763314","1.7749002505262348","dcxesuyu","failed","-","","","2026-08-22T08:16:08.000Z","15424","","/home/luke/Code/SLR/src/configfiles/sweeps/S3D/exp004/base.py","WLASL","dcxesuyu","S3D","false","/home/luke/Code/SLR/src/runs/asl100/S3D/sweep_qsh82m4w/dcxesuyu/checkpoints","42","asl100","0.00013238777694552883","0.0011101706034078948","8","0.001878341415774495","0.00035357485540104584","224","true","32","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""type"":""Centre_crop"",""frame_size"":224}]","true","32","[{""type"":""uniform"",""max_wobble"":0,""target_length"":32}]","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""p"":0.36727155646300985,""type"":""HORIZONTAL_FLIP""},{""type"":""Centre_crop"",""frame_size"":224},{""num_ops"":6,""magnitude"":7,""interpolation"":""bilinear"",""num_magnitude_bins"":31,""type"":""RANDAUGMENT""}]","true","32","[{""max_wobble"":1,""target_length"":32,""type"":""chunked""}]","0.3717378970861013","1","8.92108594300371e-7","0","224","0.36727155646300985","7","200","1","0.01","0.3717378970861013","supervised","31","6","0.00013238777694552883","0.0011101706034078948","0.001878341415774495","0.00035357485540104584","8.92108594300371e-7","20","0","13","2","CosineAnnealingWarmRestarts","1","0.056799970264913395","8","0.056799970264913395","loss","0.01","min","20","val","early_stopper","13","32","2","8","8","200","1","1","8","86.40776699029126","87.5","60.05917159763314","15","0.45785287565625327","0.4216340601444245","1.7749002505262348","0","2780"
"S3D_asl100_yzddjbnk","57.10059171597633","1.6890222342598242","yzddjbnk","failed","-","","","2026-08-22T07:47:53.000Z","1695","","/home/luke/Code/SLR/src/configfiles/sweeps/S3D/exp004/base.py","WLASL","yzddjbnk","S3D","false","/home/luke/Code/SLR/src/runs/asl100/S3D/sweep_qsh82m4w/yzddjbnk/checkpoints","42","asl100","0.00010082237430352924","0.00009988119612797008","8","0.000018870461628577805","0.00018439046155934545","224","true","32","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""frame_size"":224,""type"":""Centre_crop""}]","true","32","[{""type"":""uniform"",""max_wobble"":0,""target_length"":32}]","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""p"":0.1270539802293686,""type"":""HORIZONTAL_FLIP""},{""type"":""Centre_crop"",""frame_size"":224},{""interpolation"":""bilinear"",""num_magnitude_bins"":31,""type"":""RANDAUGMENT"",""num_ops"":4,""magnitude"":11}]","true","32","[{""max_wobble"":3,""target_length"":32,""type"":""chunked""}]","0.21548989123176537","1","0.000002356167280783408","0","224","0.1270539802293686","11","200","3","0.01","0.21548989123176537","supervised","31","4","0.00010082237430352924","0.00009988119612797008","0.000018870461628577805","0.00018439046155934545","0.000002356167280783408","20","0","17","2","CosineAnnealingWarmRestarts","1","0.15061669123736493","5","0.15061669123736493","loss","0.01","min","20","val","early_stopper","17","32","2","8","8","200","1","1","5","77.4618585298197","82.5","57.10059171597633","15","1.4845944595072371","1.317428332567215","1.6890222342598242","0","2800"
"S3D_asl100_q9cw8gcd","74.2603550295858","1.0141795309629538","q9cw8gcd","finished","-","","sweep","2026-08-22T07:47:11.000Z","27388","","/home/luke/Code/SLR/src/configfiles/sweeps/S3D/exp004/base.py","WLASL","q9cw8gcd","S3D","true","/home/luke/Code/SLR/src/runs/asl100/S3D/sweep_qsh82m4w/q9cw8gcd/checkpoints","42","asl100","0.00027580209685360653","0.0019067755343673825","8","0.000009759394378332443","0.012004061026160103","224","true","32","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""type"":""Centre_crop"",""frame_size"":224}]","true","32","[{""type"":""uniform"",""max_wobble"":0,""target_length"":32}]","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""p"":0.10460956006006106,""type"":""HORIZONTAL_FLIP""},{""type"":""Centre_crop"",""frame_size"":224},{""num_magnitude_bins"":31,""type"":""RANDAUGMENT"",""num_ops"":2,""magnitude"":9,""interpolation"":""bilinear""}]","true","32","[{""type"":""chunked"",""max_wobble"":3,""target_length"":32}]","0.11695808753242842","1","0.0000012469013716966764","0","224","0.10460956006006106","9","200","3","0.01","0.11695808753242842","supervised","31","2","0.00027580209685360653","0.0019067755343673825","0.000009759394378332443","0.012004061026160103","0.0000012469013716966764","20","0","16","2","CosineAnnealingWarmRestarts","1","0.34766267676723145","2","0.34766267676723145","loss","0.01","min","20","val","early_stopper","16","32","2","8","8","200","1","1","2","98.89042995839112","98.75","74.2603550295858","39","0.06160102833976941","0.0853355124592781","1.1720235589635617","20","6870"
"S3D_asl100_hxfr40im","58.875739644970416","2.6363487568590114","hxfr40im","failed","-","","","2026-08-22T07:18:54.000Z","1697","","/home/luke/Code/SLR/src/configfiles/sweeps/S3D/exp004/base.py","WLASL","hxfr40im","S3D","false","/home/luke/Code/SLR/src/runs/asl100/S3D/sweep_qsh82m4w/hxfr40im/checkpoints","42","asl100","0.00003704410868370497","0.00005055045923268651","8","0.005970915973738316","0.00023996078038391992","224","true","32","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""type"":""Centre_crop"",""frame_size"":224}]","true","32","[{""type"":""uniform"",""max_wobble"":0,""target_length"":32}]","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""p"":0.2849371289593423,""type"":""HORIZONTAL_FLIP""},{""type"":""Centre_crop"",""frame_size"":224},{""interpolation"":""bilinear"",""num_magnitude_bins"":31,""type"":""RANDAUGMENT"",""num_ops"":3,""magnitude"":9}]","true","32","[{""type"":""chunked"",""max_wobble"":2,""target_length"":32}]","0.21789355670359864","1","8.735522312761331e-7","0","224","0.2849371289593423","9","200","2","0.01","0.21789355670359864","supervised","31","3","0.00003704410868370497","0.00005055045923268651","0.005970915973738316","0.00023996078038391992","8.735522312761331e-7","20","0","12","2","CosineAnnealingWarmRestarts","1","0.09818566496318576","2","0.09818566496318576","loss","0.01","min","20","val","early_stopper","12","32","2","8","8","200","1","1","2","56.657420249653256","57.5","41.42011834319526","15","2.1761275207864097","2.4003724575042726","7.929835798599867","1","2810"
"S3D_asl100_9g2a9bns","74.2603550295858","0.9829398746430812","9g2a9bns","failed","-","","","2026-08-22T07:18:09.000Z","17162","","/home/luke/Code/SLR/src/configfiles/sweeps/S3D/exp004/base.py","WLASL","9g2a9bns","S3D","false","/home/luke/Code/SLR/src/runs/asl100/S3D/sweep_qsh82m4w/9g2a9bns/checkpoints","42","asl100","0.0008391602868003286","0.000024660971003689713","8","0.0008031930105542486","0.09290036463166942","224","true","32","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""frame_size"":224,""type"":""Centre_crop""}]","true","32","[{""type"":""uniform"",""max_wobble"":0,""target_length"":32}]","224","[0.43216,0.394666,0.37645]","[0.22803,0.22145,0.216989]","true","[{""p"":0.19442251599583735,""type"":""HORIZONTAL_FLIP""},{""type"":""Centre_crop"",""frame_size"":224},{""num_magnitude_bins"":31,""type"":""RANDAUGMENT"",""num_ops"":4,""magnitude"":13,""interpolation"":""bilinear""}]","true","32","[{""type"":""chunked"",""max_wobble"":0,""target_length"":32}]","0.2649896210369431","1","0.000007015829787709367","0","224","0.19442251599583735","13","200","0","0.01","0.2649896210369431","supervised","31","4","0.0008391602868003286","0.000024660971003689713","0.0008031930105542486","0.09290036463166942","0.000007015829787709367","20","0","11","2","CosineAnnealingWarmRestarts","1","0.022003234619550345","5","0.022003234619550345","loss","0.01","min","20","val","early_stopper","11","32","2","8","8","200","1","1","5","77.53120665742026","81.25","34.319526627218934","45","0.7486286550636265","0.5910519078373909","4.717280245459785","7","8270"
